Fecha;User;Pronombre;Verbo;Tiempo Verbal;Conjugación Usuario;Conjugación Correcta;Resultado
2023-11-04 14:23:39;jose;je;voir;present;veux;vois;Incorrecto
2023-11-04 14:23:54;jose;tu;attendre;present;attends;attends;Correcto
2023-11-04 14:27:31;jose;tu;decouvrir;present;décourves;découvres;Incorrecto
2023-11-04 14:35:17;jose;vous;vouloir;present;voulez;voulez;Correcto
2023-11-04 14:35:40;jose;je;dire;present;dis;dis;Correcto
2023-11-04 14:56:47;jose;vous;aller;present;allez;allez;Correcto
2023-11-04 14:57:19;jose;je;mettre;present;mets;mets;Correcto
2023-11-04 16:26:41;jose;tu;attendre;present;attends;attends;Correct
2023-11-04 16:27:58;jose;tu;suivre;present;suis;suis;Correct
2023-11-04 16:29:46;jose;tu;prendre;present;prends;prends;Correct
2023-11-04 16:29:55;jose;je;voir;present;vois;vois;Correct
2023-11-04 16:30:03;jose;nous;dormir;present;dormons;dormons;Correct
2023-11-04 16:30:08;jose;il;aller;present;va;va;Correct
2023-11-04 16:30:20;jose;il;finir;present;fini;finit;Incorrect
2023-11-04 19:24:28;jose;nous;offrir;present;offrons;offrons;Correct
2023-11-04 19:24:41;jose;nous;attendre;present;attendons;attendons;Correct
2023-11-04 19:24:48;jose;je;boire;present;bois;bois;Correct
2023-11-04 19:25:15;jose;je;attendre;present;attends;attends;Correct
2023-11-04 19:27:24;jose;je;etre;present;suis;suis;Correct
2023-11-04 19:28:09;jose;il;decouvrir;present;C:/Python311/python.exe c:/Users/jrriv/OneDrive/Cursos/Frances/conjugador/main.py;découvre;Incorrect
2023-11-04 19:31:05;jose;vous;chanter;present;chantons;chantez;Incorrect
2023-11-04 19:31:39;jose;tu;vouloir;present;veux;veux;Correct
2023-11-04 19:39:06;jose;je;boire;present;bois;bois;Correct
2023-11-04 19:39:14;jose;tu;finir;present;finis;finis;Correct
2023-11-04 19:39:52;jose;il;connaitre;present;connais;connait;Incorrect
2023-11-04 19:40:02;jose;nous;devoir;present;devons;devons;Correct
2023-11-04 19:40:27;jose;je;faire;present;fais;fais;Correct
2023-11-04 19:40:51;jose;tu;conduire;present;conduis;conduis;Correct
2023-11-04 19:41:32;jose;tu;ecrire;present;écris;écris;Correct
2023-11-04 19:42:12;jose;tu;savoir;present;sais;sais;Correct
2023-11-04 19:42:19;jose;je;venir;present;viens;viens;Correct
2023-11-04 19:42:51;jose;tu;connaitre;present;connaits;connais;Incorrect
2023-11-04 19:43:36;jose;tu;avoir;present;a;as;Incorrect
2023-11-04 19:43:45;jose;nous;avoir;present;avons;avons;Correct
2023-11-04 19:43:55;jose;tu;chanter;present;chants;chantes;Incorrect
2023-11-04 19:44:53;jose;tu;avoir;present;as;as;Correct
2023-11-04 19:53:28;jose;nous;aller;present;allons;allons;Correct
2023-11-04 20:25:18;jose;nous;croire;present;croissons;croyons;Incorrect
2023-11-04 20:26:07;jose;il;attendre;present;attend;attend;Correct
2023-11-04 20:26:15;jose;il;savoir;present;sait;sait;Correct
2023-11-04 20:26:22;jose;il;lire;present;lit;lit;Correct
2023-11-04 20:26:33;jose;je;avoir;present;ai;ai;Correct
2023-11-04 20:26:45;jose;tu;suivre;present;suis;suis;Correct
2023-11-04 20:26:53;jose;tu;avoir;present;as;as;Correct
2023-11-04 20:27:11;jose;tu;offrir;present;offrire;offres;Incorrect
2023-11-04 20:27:43;jose;nous;boire;present;boison;buvons;Incorrect
2023-11-04 20:42:33;jose;vous;decouvrir;present;decouvez;découvrez;Incorrect
2023-11-04 22:08:53;jose;tu;venir;present;viens;viens;Correct
2023-11-04 22:10:40;jose;nous;venir;present;venions;venons;Incorrect
2023-11-04 22:11:20;jose;je;avoir;present;ai;ai;Correct
2023-11-08 15:52:35;jose;tu;voir;present;vois;vois;Correct
2023-11-08 15:52:43;jose;tu;devoir;present;dois;dois;Correct
2023-11-08 15:53:23;jose;vous;decouvrir;present;découvez;découvrez;Incorrect
2023-11-08 15:53:43;jose;tu;connaitre;present;connaits;connais;Incorrect
2023-11-08 15:53:55;jose;je;devoir;present;dois;dois;Correct
2023-11-08 15:54:06;jose;je;courir;present;cour;cours;Incorrect
2023-11-08 15:54:24;jose;vous;finir;present;finissez;finissez;Correct
2023-11-08 15:56:06;jose;je;s'appeler;present;m'appelle;m'appelle;Correct
2023-11-08 15:56:19;jose;vous;croire;present;couirez;croyez;Incorrect
2023-11-08 15:56:45;jose;vous;courir;present;couris;courez;Incorrect
2023-11-08 15:57:01;jose;il;croire;present;croirs;croit;Incorrect
2023-11-08 15:57:19;jose;nous;finir;present;finissons;finissons;Correct
2023-11-08 15:57:30;jose;vous;devoir;present;devez;devez;Correct
2023-11-08 15:57:37;jose;il;avoir;present;a;a;Correct
2023-11-08 15:57:52;jose;nous;connaitre;present;connaitrons;connaissons;Incorrect
2023-11-08 15:58:09;jose;il;prendre;present;prend;prend;Correct
2023-11-08 15:58:17;jose;nous;etre;present;sommes;sommes;Correct
2023-11-08 15:58:43;jose;il;decouvrir;present;décourvrit;découvre;Incorrect
2023-11-08 15:59:04;jose;tu;voir;present;vois;vois;Correct
2023-11-08 15:59:14;jose;tu;etre;present;es;es;Correct
2023-11-08 15:59:23;jose;il;produire;present;produit;produit;Correct
2023-11-08 15:59:29;jose;il;venir;present;vient;vient;Correct
2023-11-08 15:59:56;jose;tu;voir;present;vois;vois;Correct
2023-11-08 16:00:04;jose;je;savoir;present;sais;sais;Correct
2023-11-08 16:00:12;jose;vous;vouloir;present;voulez;voulez;Correct
2023-11-08 16:00:24;jose;vous;mettre;present;mettez;mettez;Correct
2023-11-08 16:01:53;jose;vous;venir;present;vennez;venez;Incorrect
2023-11-08 16:02:06;jose;je;avoir;present;ai;ai;Correct
2023-11-08 16:02:11;jose;il;croire;present;croit;croit;Correct
2023-11-08 16:02:22;jose;il;attendre;present;attende;attend;Incorrect
2023-11-08 16:02:39;jose;tu;connaitre;present;connaits;connais;Incorrect
2023-11-08 16:06:13;jose;je;courir;present;cours;cours;Correct
2023-11-08 16:06:27;jose;vous;conduire;present;condouirez;conduisez;Incorrect
2023-11-08 16:06:37;jose;nous;etre;present;sommes;sommes;Correct
2023-11-08 16:07:10;jose;nous;produire;present;produison;produisons;Incorrect
2023-11-08 16:08:00;jose;tu;connaitre;present;connaits;connais;Incorrect
2023-11-08 16:08:38;jose;il;decouvrir;present;découvre;découvre;Correct
2023-11-08 16:08:46;jose;vous;avoir;present;avez;avez;Correct
2023-11-08 16:20:58;jose;je;recevoir;present;reçois;reçois;Correct
2023-11-08 16:21:27;jose;nous;vouloir;present;voulons;voulons;Correct
2023-11-08 16:21:33;jose;tu;lire;present;lis;lis;Correct
2023-11-08 16:21:46;jose;vous;connaitre;present;connaisons;connaissez;Incorrect
2023-11-08 16:22:14;jose;il;decouvrir;present;découvre;découvre;Correct
2023-11-08 16:22:27;jose;nous;croire;present;croissons;croyons;Incorrect
2023-11-08 16:23:51;jose;tu;boire;present;bois;bois;Correct
2023-11-08 16:24:09;jose;je;ecrire;present;écris;écris;Correct
2023-11-08 16:24:31;jose;je;s'appeler;present;m'appelle;m'appelle;Correct
2023-11-08 16:25:19;jose;il;devoir;present;doit;doit;Correct
2023-11-08 16:25:27;jose;nous;finir;present;finissons;finissons;Correct
2023-11-08 16:25:36;jose;vous;devoir;present;devez;devez;Correct
2023-11-08 16:25:51;jose;vous;vouloir;present;voulons;voulez;Incorrect
2023-11-08 16:26:04;jose;tu;savoir;present;sais;sais;Correct
2023-11-08 16:26:15;jose;il;attendre;present;attend;attend;Correct
2023-11-08 16:26:40;jose;je;croire;present;crois;crois;Correct
2023-11-08 16:26:51;jose;tu;venir;present;vien;viens;Incorrect
2023-11-08 16:27:14;jose;vous;chanter;present;chantez;chantez;Correct
2023-11-09 13:57:29;jose;nous;devoir;present;devon;devons;Incorrect
2023-11-09 13:58:14;jose;tu;venir;present;viens;viens;Correct
2023-11-09 13:58:44;jose;je;venir;present;vien;viens;Incorrect
2023-11-09 13:59:25;jose;il;offrir;present;offres;offre;Incorrect
2023-11-10 13:26:59;jose;il;prendre;present;prends;prend;Incorrect
2023-11-10 13:29:32;jose;il;recevoir;present;reçoit;reçoit;Correct
2023-11-10 13:29:50;jose;nous;boire;present;boisson;buvons;Incorrect
2023-11-26 16:11:55,jose,nous,courir,present,courssons,courons,Incorrect
2023-11-26 16:20:36,jose,tu,vouloir,present,veux,veux,Correct
2023-11-26 16:20:50,jose,il,finir,present,finir,finit,Incorrect
2023-12-01 13:51:04,jose,vous,ecrire,present,écrivons,écrivez,Incorrect
2023-12-01 13:51:54,jose,je,decouvrir,present,découvri,découvre,Incorrect
2023-12-01 13:52:13,jose,vous,decouvrir,present,découvrez,découvrez,Correct
2023-12-01 13:52:36,jose,nous,pouvoir,present,pouvons,pouvons,Correct
2023-12-01 13:53:07,jose,tu,chanter,present,chants,chantes,Incorrect
2023-12-01 13:54:04,jose,nous,recevoir,present,recevons,recevons,Correct
2023-12-01 13:54:30,jose,tu,lire,present,lis,lis,Correct
2023-12-01 13:55:08,jose,tu,connaitre,present,connaître,connais,Incorrect
2023-12-01 13:55:30,jose,nous,venir,present,venons,venons,Correct
2023-12-01 13:59:15,jose,tu,recevoir,present,reçois,reçois,Correct
2023-12-01 14:00:26,jose,tu,s'appeler,present,t'appelle,t'appelles,Incorrect
2023-12-01 14:01:34,jose,tu,boire,present,bois,bois,Correct
2023-12-01 14:02:06,jose,il,decouvrir,present,découvrit,découvre,Incorrect
2023-12-01 14:05:31,jose,tu,venir,present,viens,viens,Correct
2023-12-01 14:09:02,jose,vous,ecrire,present,écrivez,écrivez,Correct
2023-12-01 14:10:15,jose,nous,s'appeler,present,nous appelons,nous appelons,Correct
2023-12-01 14:10:37,jose,je,venir,present,viens,viens,Correct
2023-12-01 14:11:11,jose,vous,aller,present,allez,allez,Correct
2023-12-01 14:25:55,jose,nous,croire,present,croisons,croyons,Incorrect
2023-12-01 14:28:11,jose,tu,etre,present,est,es,Incorrect
2023-12-01 14:28:47,jose,je,connaitre,present,connais,connais,Correct
2023-12-01 14:29:28,jose,il,ecrire,present,écrit,écrit,Correct
2023-12-01 14:30:06,jose,tu,devoir,present,dévois,dois,Incorrect
2023-12-01 14:30:23,jose,tu,dormir,present,dort,dors,Incorrect
2023-12-01 14:30:41,jose,il,dire,present,dit,dit,Correct
2023-12-01 14:31:04,jose,vous,connaitre,present,connaissons,connaissez,Incorrect
2023-12-01 14:31:51,jose,il,venir,present,vient,vient,Correct
2023-12-01 14:32:30,jose,nous,offrir,present,offressons,offrons,Incorrect
2023-12-01 14:32:57,jose,vous,decouvrir,present,découvrez,découvrez,Correct
2023-12-01 14:33:08,jose,je,boire,present,bois,bois,Correct
2023-12-01 14:33:15,jose,tu,venir,present,viens,viens,Correct
2023-12-01 14:34:25,jose,tu,decouvrir,present,découverte,découvres,Incorrect
2023-12-01 14:34:52,jose,il,s'appeler,present,s'appelle,s'appelle,Correct
2023-12-01 14:35:02,jose,tu,chanter,present,chantes,chantes,Correct
2023-12-01 14:35:13,jose,il,recevoir,present,reçoit,reçoit,Correct
2023-12-01 14:35:32,jose,nous,vouloir,present,voulons,voulons,Correct
2023-12-01 14:35:46,jose,je,attendre,present,attend,attends,Incorrect
2023-12-01 14:36:14,jose,vous,conduire,present,conduirez,conduisez,Incorrect
2023-12-01 14:49:07,jose,il,attendre,present,attendre,attend,Incorrect
2023-12-01 14:49:15,jose,il,venir,present,vient,vient,Correct
2023-12-01 14:49:47,jose,nous,suivre,present,suivons,suivons,Correct
2023-12-01 14:49:59,jose,je,connaitre,present,connais,connais,Correct
2023-12-01 14:50:11,jose,vous,lire,present,lisez,lisez,Correct
2023-12-01 14:50:22,jose,tu,attendre,present,attend,attends,Incorrect
2023-12-01 14:50:39,jose,il,pouvoir,present,peut,peut,Correct
2023-12-01 14:50:55,jose,vous,decouvrir,present,découvert,découvrez,Incorrect
2023-12-01 14:51:27,jose,vous,decouvrir,present,découvrez,découvrez,Correct
